Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
12-Jun-20,2011.20,2049.20,2011.00,2067.65,2037.60,2039.50,2026.47,2296.20,1506.05,2842757.00,5760775770.15,130558.00
11-Jun-20,2100.00,2105.00,2061.80,2108.75,2069.00,2067.65,2077.30,2296.20,1506.05,2269569.00,4714585319.90,100095.00
10-Jun-20,2077.05,2132.00,2073.50,2072.05,2109.00,2108.75,2108.53,2296.20,1506.05,5168494.00,10897927412.75,187675.00
9-Jun-20,2063.10,2095.50,2060.25,2071.75,2075.00,2072.05,2079.22,2296.20,1506.05,2910152.00,6050853764.50,150567.00
8-Jun-20,2078.25,2095.00,2062.10,2048.25,2070.00,2071.75,2078.75,2296.20,1506.05,2957841.00,6148612154.35,108037.00
5-Jun-20,2091.60,2098.00,2040.30,2091.55,2053.00,2048.25,2054.59,2296.20,1506.05,3573299.00,7341657005.90,143792.00
4-Jun-20,2046.75,2100.00,2046.75,2046.15,2094.95,2091.55,2075.82,2296.20,1506.05,4048593.00,8404139687.85,147400.00
3-Jun-20,2051.85,2063.75,2020.00,2047.15,2048.00,2046.15,2038.22,2296.20,1506.05,3699799.00,7540990258.25,154423.00
2-Jun-20,2060.20,2081.00,2040.05,2045.25,2049.95,2047.15,2057.96,2296.20,1506.05,2443886.00,5029413812.55,116685.00
1-Jun-20,1990.00,2060.00,1981.10,1972.35,2038.00,2045.25,2033.41,2296.20,1506.05,3747850.00,7620914144.30,146513.00
29-May-20,1982.00,2002.65,1962.40,2004.30,1980.90,1972.35,1977.79,2296.20,1506.05,7237765.00,14314766618.10,180576.00
28-May-20,1988.50,2014.00,1971.30,2005.30,2006.25,2004.30,1988.53,2296.20,1506.05,3475788.00,6911722437.65,149827.00
27-May-20,1959.00,2010.00,1941.25,1943.00,2008.00,2005.30,1975.64,2296.20,1506.05,3482185.00,6879539543.00,131846.00
26-May-20,2015.00,2024.00,1925.00,2020.35,1948.95,1943.00,1969.21,2296.20,1506.05,4575512.00,9010142134.85,170636.00
22-May-20,1977.10,2032.00,1961.25,1991.20,2015.15,2020.35,2005.12,2296.20,1506.05,3663422.00,7345594790.65,129277.00
21-May-20,1946.00,1998.00,1941.15,1953.60,1990.10,1991.20,1977.64,2296.20,1506.05,3400925.00,6725802265.75,125723.00
20-May-20,1950.00,1962.90,1931.70,1948.65,1953.55,1953.60,1946.92,2296.20,1506.05,2778505.00,5409514559.25,130438.00
19-May-20,1903.00,1966.45,1903.00,1945.60,1948.10,1948.65,1945.90,2296.20,1506.05,3198699.00,6224360593.35,148060.00
